Date,Description,Amount
02/26/2024,GREATFRONTEND       SINGAPORE           SG,56.00
02/25/2024,TMOBILE*AUTO PAY    800-937-8997        WA,280.43
02/25/2024,WALMART PLUS MONTHLYBENTONVILLE,-14.15
02/23/2024,NETFLIX.COM         866-579-7172        CA,15.49
02/22/2024,ADOBE SYSTEMS Adobe SAN JOSE            CA,9.99
02/21/2024,PAYPAL *STEAM GAMES 4259522985          WA,39.98
02/20/2024,UBER TRIP           HTTPS://HELP.UBER.CO,18.50
02/20/2024,WALMART.COM W+ AMEX BENTONVILLE         AR,14.15
02/19/2024,UBER TRIP           HTTPS://HELP.UBER.CO,27.60
02/18/2024,AEROMEXICOPLUSGRADE MEXICO CITY         ME,129.82
02/18/2024,PAYPAL *DISCORD     4029357733          CA,9.99
02/18/2024,SIRIUS RADIO INC    NEW YORK,-20.00
02/16/2024,ONLINE PAYMENT - THANK YOU,-841.99
02/16/2024,SIRIUS XM RADIO INC.888-635-5144        NY,24.66
02/14/2024,UBER TRIP           HTTPS://HELP.UBER.CO,1.17
02/14/2024,UBER TRIP           HTTPS://HELP.UBER.CO,15.63
02/12/2024,COMCAST CALIFORNIA REC,74.00
02/11/2024,UBER TRIP           HTTPS://HELP.UBER.CO,9.25
02/10/2024,UBER TRIP           HTTPS://HELP.UBER.CO,17.68
02/08/2024,ALASKA AIRLINES     SEATTLE             WA,25.00
02/08/2024,HEROKU* JAN-91985901SAN FRANCISCO       CA,10.00
02/08/2024,ONLINE PAYMENT - THANK YOU,-650.00
02/08/2024,PAYPAL *APPLE.COM/BI8002752273          CA,0.99
02/08/2024,UBER ONE            help.uber.com       CA,9.99
02/07/2024,ALASKA AIRLINES     SEATTLE             WA,-25.00
02/06/2024,ALASKA AIRLINES     SEATTLE             WA,25.00
02/06/2024,ONLINE PAYMENT - THANK YOU,-159.00
02/05/2024,ADO WEB AMEX        MEXICO              ME,110.77
02/05/2024,Southwest Airlines  DALLAS              TX,-203.00
02/04/2024,PAYPAL *SPOTIFYUSAI 2033189708          NY,10.99
02/03/2024,ALASKA AIRLINES     SEATTLE             WA,20.99
02/03/2024,ALASKA AIRLINES     SEATTLE             WA,38.44
02/03/2024,JETBLUE AIRWAYS 9010JETBLUE             NY,80.45
02/03/2024,SEATS.AERO          BEAVERTON           OR,9.99
02/03/2024,Southwest Airlines  DALLAS              TX,203.00
02/03/2024,UBER EATS           help.uber.com       CA,10.53
02/02/2024,EBAY O*09-11131-6219SAN JOSE            CA,12.44
02/02/2024,MEM RWDS AIRLINE TAX OFFSET FEE,7.50
02/02/2024,ONLINE PAYMENT - THANK YOU,-112.38
02/02/2024,POINTS JETBLUE      SAN FRANCISCO       CA,272.30
02/01/2024,EXPERTFLYER         FORT MILL           SC,9.99
01/31/2024,AEROMEXICO 8697890  WEB US              TX,76.50
01/30/2024,ALASKA AIRLINES     SEATTLE             WA,-201.21
01/29/2024,ALASKA AIRLINES     SEATTLE             WA,201.21
